function_id,function_description,notes,date_created_or_last_modified
0,Engine,"While the function identifies what is typically the mechanical power source of the machine, the reference tends to be to the management system that controls the torque vs speed vs command (typically throttle) of said power source.",
1,"Auxiliary Power Unit (APU)","Power source for operating systems without the use of the prime ‘drive’ engine.",
2,"Electric Propulsion Control","Control system which operates the drive mechanism when it is electrically powered, such as battery-motor, or engine-generator-motor hybrids",
3,Transmission,"A mechanical system for alter the speed vs torque output of the engine to a level usable by another system on the machine.  Although again the network reference is actually to the system which controls the operation of said transmission.",
4,"Battery Pack Monitor","Monitors the condition - charge, temperature, power remaining, etc. for an internal battery pack - typically used with electric propulsion",
5,"Shift Control/Console","The device which determines and transmit onto the network the gear, the range, the operating mode or any or all of these that the operator desires for the transmission. (Not to be confused with transmission control which is Transmission)",
6,"Power TakeOff - (Main or Rear)","The system which controls the mechanical power derived from a prime engine and used to operate auxiliary items such as compressors in on highway vehicles and such as implements in ag applications.  This being the main or rear unit.",
7,"Axle - Steering","Adjust attack angle as function of steering",
8,"Axle - Drive",,
9,"Brakes - System Controller","Controls service braking system electronically – might be any of a number of schemes – may also control (at least partly) the endurance braking system in the sense of an integrated control (application phased in with the service braking system).",
10,"Brakes - Steer Axle","Control for actuating the service brakes on a steered axle",
11,"Brakes - Drive axle","Control for actuating the service brakes on a drive axle",
12,"Retarder - Engine","The control for the retarder capabilities of the engine. There are several types of retarders possible and these are defined within the parameter - Retarder Type, (SPN 901).",
13,"Retarder - Driveline","The control for the retarder capabilities of the driveline. There are several types of retarders possible and these are defined within the parameter - Retarder Type, (SPN 901).",
14,"Cruise Control","Control system for maintaining the vehicle’s speed at a fixed operator selectable value with various over-rides linked to other systems",
15,"Fuel System","Controls fuel flow from the tank to the filter to the water-removal/separator to the engine and then back to the tank.",
16,"Steering Controller","Controls steering in steer-by-wire",
17,"Suspension - Steer Axle","Control system for the suspension of a steered axle",
18,"Suspension - Drive Axle","Control system for the suspension of a driven axle",
19,"Instrument Cluster","A gauge display for a vehicle. Typically mounted in the cab within the driver’s field of view and generally a somewhat limited display such as: dedicated dials or a small digit 7 segment display.  See Cab Display for larger more elaborate display.",
20,"Trip Recorder","A system for accumulating data versus travel of the vehicle (machine), since a specific starting point sometimes expressed in terms of distance or time traveled.",
21,"Cab Climate Control","A system for controlling the climate within the cab of the vehicle (machine).  Note: The operator controls (message) for this system should be designed to allow any source to transmit them.",
22,"Aerodynamic Control","Modify drag by altering Body panels – lower air ferrings when dead heading, extend side panels when on interstate",
23,"Vehicle Navigation","System associated with the vehicles physical location – may be as simple as display of current location, driving instructions from current to desired location, (do we need a separate guidance?).",
24,"Vehicle Security","System for comparing operator provided data sequences against reference to verify that operation or certain operations should be allowed for the particular operator.  Also may include functions to prevent unauthorized operations.  Examples: unlocking doors, starting engine, …",
25,"Network Interconnect ECU","ECU for connecting different network segments together – may be bridge or gateway  - see J1939 –31 for details For any vehicle system (tractor or trailer)",
26,"Body Controller","May handle suspension control for the body sections independent from the axle sections - Controls the body (not chassis or cab) components",1999-11-11
