source_address_id,name,notes,date_created_or_modified
0,"Engine #1","The #1 on the Engine CA is to identify that this is the first PA being used for the particular function, Engine. It may only be used for the NAME Function of 0, Function Instance 0, and an ecu instance of 0, which is commonly know as the “first engine”.",
1,"Engine #2","The #2 on the Engine CA is to identify that this is the second PA available for use for the  function, Engine. It may be used by the “second” engine (Function 0, Function Instance 1, ECU Instance 0), but it may also be used by the second ecu on the first engine (Function 0, Function Instance 0, ECU Instance 1), if there is no second engine.",
2,Turbocharger,"Turbocharger used on the engine.  May only be used for the NAME Function of 133, Industry Group 0, Vehicle System 0.",2004-02-19
3,"Transmission #1","The first transmission - may only be used for the NAME Function of 3, Function Instance 0, and an ecu instance of 0.",
4,"Transmission #2","The second PA available for use for the function, Transmission. It may be used by the “second” transmission (Function 3, Function Instance 1, ECU Instance 0), but it may also be used by the second ecu on the first transmission (Function 3, Function Instance 0, ECU Instance 1), if there is no second transmission.",
5,"Shift Console - Primary","The shift console mounted in the normal drivers position",
6,"Shift Console - Secondary","A shift console mounted remotely from the normal drivers position (May not be used for any ecu instances of the primary shift console)",
7,"Power TakeOff - (Main or Rear)",,
8,"Axle - Steering",,
9,"Axle - Drive #1","The first drive axle - may only be used for the NAME Function of 8, Function Instance 0, and an ecu instance of 0.",
10,"Axle - Drive #2","The second PA available for use for the  function, Axle, Drive. It may be used by the “second” drive axle (Function 8, Function Instance 1, ECU Instance 0), but it may also be used by the second ecu on the first drive axle (Function 8, Function Instance 0, ECU Instance 1), if there is no second drive axle.",
11,"Brakes - System Controller",,
12,"Brakes - Steer Axle",,
13,"Brakes - Drive axle #1","The brakes on the first drive axle - may only be used for the NAME Function of 11, Function Instance 0, and an ecu instance of 0.",
14,"Brakes - Drive Axle #2","The second PA available for use for the function, Brakes on a Drive Axle. It may be used by the “second” drive axle brakes (Function 11, Function Instance 1, ECU Instance 0), but it may also be used by the second ecu on the first drive axle brakes (Function 11, Function Instance 0, ECU Instance 1), if there is no second drive axle brakes.",
15,"Retarder - Engine","Engine Compression Braking",
16,"Retarder - Driveline",,
17,"Cruise Control","Speed-based control",
18,"Fuel System",,
19,"Steering Controller",,
20,"Suspension - Steer Axle",,
