industry_group_id,vehicle_system_id,vehicle_system_description,function_id,function_description,notes,date_created_or_last_modified
0,0,"Non-specific System",128,Reserved,,
0,0,"Non-specific System",129,"Off-board diagnostic-service tool",,
0,0,"Non-specific System",130,"On-board data logger",,
0,0,"Non-specific System",131,"PC Keyboard"," A user interface similar to a PC keyboard.",2004-02-18
0,0,"Non-specific System",132,"Safety Restraint System","The safety restraint system can be for controlling  activation of airbags, belt tensioners, roll over protection systems, etc.",2004-02-18
0,0,"Non-specific System",133,Turbocharger,"Turbocharger used on the engine.",2004-02-18
0,0,"Non-specific System",134,"Ground based speed sensor","Measures actual ground speed of a vehicle with a device such as radar or other such devices.",2005-11-17
0,0,"Non-specific System",135,Keypad,"An operator input device used to control machine functions or provide data.",2005-11-17
0,0,"Non-specific System",136,"Humidity sensor","Device which measures air humidity",2006-02-09
0,0,"Non-specific System",137,"Thermal Management System Controller","This device controls all devices that may be used in a thermal management system including Jacket Water Cooling, Charged Air Cooling, Transmission Cooling, Electronics Cooling, Aux Oil Cooling, etc.",2006-02-09
0,0,"Non-specific System",138,"Brake Stroke Alert","The device that evaluates air brake stroke for normal stroke, over stroke, dragging brake, or a non-functioning brake actuator and is permanently mounted on the vehicle.",2007-02-22
0,0,"Non-specific System",139,"On-board axle group scale","The device that determines axle group weights and is permanently mounted on the vehicle.",2013-02-28
0,0,"Non-specific System",140,"On-board axle group display","The device that displays axle group weights and may be permanently mounted on the vehicle.  Additionally it provides for entry of calibration and other data related to the operation of an on-board scale.",2013-02-28
0,0,"Non-specific System",141,"Battery Charger","A device used to charge batteries in a vehicle from an off-board source of electrical energy.",2007-11-15
0,0,"Non-specific System",142,"Turbocharger Compressor Bypass","Device used to control the flow across the Compressor Bypass",2008-05-23
0,0,"Non-specific System",143,"Turbocharger Wastegate","Device used to control the position of the Wastegate to adjust the exhaust flow.",2008-05-23
0,0,"Non-specific System",144,Throttle,"Device used to control the air/fuel mixture into the cylinders for combustion.",2008-05-23
0,0,"Non-specific System",145,"Inertial Sensor","Detects a change in geographic position, a change in velocity, and/or a change in orientation.  This may include but is not limited to an accelerometer, gyroscopes, and other motion sensing devices.",2008-08-14
0,0,"Non-specific System",146,"Fuel Actuator","Device used to Control the flow of fuel (or fuel rack) on a engine.",2008-11-13
0,0,"Non-specific System",147,"Engine Exhaust Gas Recirculation","Device that controls the engine exhaust gas recirculation system.",2009-11-19
0,0,"Non-specific System",148,"Engine Exhaust Backpressure","Device that controls the engine exhaust backpressure.",2009-11-19
0,0,"Non-specific System",149,"On-board bin weighing scale","Device that determines bin weights and is permanently mounted on the vehicle.",2013-02-28
0,0,"Non-specific System",150,"On-board bin weighing scale display","Device that displays bin weights and may be permanently mounted on the vehicle. Additionally it provides for entry of calibration and other data related to the operation of an on-board bin scale.",2013-02-28
0,0,"Non-specific System",151,"Engine Cylinder Pressure Monitoring System","System designed to monitor engine cylinder pressures and provide combustion information.",2014-08-07
0,0,"Non-specific System",152,"Object Detection","System for detection of undesireable objects in the product flow.",2017-08-10
0,0,"Non-specific System",153,"Object Detection Display","Display designed specifically for displaying and managing object detection information.",2017-08-10
0,0,"Non-specific System",154,"Object Detection Sensor","Detects the presence of objects within a region.",2017-08-10
0,0,"Non-specific System",155,"Personnel Detection Device","Device for the detection of personnel in proximity to a vehicle.",2018-05-10
0,0,"Non-specific System",255,"Not Available","This assignment can be used until an explicit function has been assigned.",2000-02-07
0,127,"Not Available",255,"Not Available","This assignment can be used until an explicit function has been assigned.",2000-02-07
1,0,"Non-specific System",128,Tachograph,,
1,0,"Non-specific System",129,"Door Controller",,
1,0,"Non-specific System",130,"Articulation Turntable Control","Control of the articulation turntable for joined body buses.",2000-02-10
1,0,"Non-specific System",131,"Body-to-Vehicle Interface Control","Interface controller managing interaction of vehicle functions and body functions.May be combination of body signals and gateway functionalities.",2000-02-10
1,0,"Non-specific System",132,"Slope Sensor","Sensor for measuring a slope along an axis.",2004-05-18
1,0,"Non-specific System",134,"Retarder Display","Display module that shows information pertaining to the retarder (driveline or exhaust or engine).",2005-02-09
1,0,"Non-specific System",135,"Differential Lock Controller",,2005-02-10
1,0,"Non-specific System",136,"Low-Voltage Disconnect","The device that monitors the voltage of the starting battery bank and disconnects predetermined auxiliary loads to assure enough power is left in the batteries for starting the vehicle, and is permanently mounted on the vehicle.",2008-05-22
1,0,"Non-specific System",137,"Roadway Information","Devices that use this function will provide information relevant to the roadway in which the vehicle is traveling. This includes attributes such as intersections, grade, speed limit, number of lanes, location of fueling stations, etc. The roadway refers to the current road that the vehicle is traveling, nearby roads that may intersect the current road, and possibly information for a specific route._x000D_
_x000D_
This is different from ""Vehicle Navigation"" (Function ID 23) because a vehicle navigation device may use the information provided by the device with the ""Roadway Information"" Function ID for its purposes. These functions could be accomplished by two completely different devices.",2015-02-19
1,0,"Non-specific System",138,"Automated Driving","Automated Driving System.  Note:  The hardware and software that are collectively capable of performing some or all of the dynamic driving task on a sustained basis, regardless of whether it is limited to a specific operational design domain.  Please reference SAE J3016.",2018-11-08
1,0,"Non-specific System",255,"Not Available","This assignment can be used until an explicit function has been assigned.",2000-02-07
1,1,Tractor,128,"Forward Road Image Processing","Determine vehicle position from lane markings. Performance, Advisory & Warning only",1999-05-01
1,1,Tractor,129,"Fifth Wheel Smart System","Any systems relative to the operation & status/safety monitoring of the fifth  wheel coupler system (including mounting bracket).",2004-02-18
1,1,Tractor,130,"Catalyst Fluid Sensor","The Catalyst Fluid Sensor can measure the catalyst fluid temperature, the catalyst fluid level and the catalyst fluid quality",2004-02-18
1,1,Tractor,131,"Adaptive Front Lighting System","System used to adjust the vehicle front lighting for the current operating conditions (city, highway, country,etc.)",2005-11-17
1,1,Tractor,132,"Idle Control System","The device automatically starts and stops the engine when the vehicle is stationary for the purpose of reducing excess idle time.",2007-08-16
1,1,Tractor,133,"User Interface System","The User Interface System is a two way interface system.  Uses of this may include, but are not limited to, setting climate conditions, setting system parameters, and/or logging operating conditions of the system.",2007-08-16
1,1,Tractor,255,"Not Available","This assignment can be used until an explicit function has been assigned.",2000-02-07
1,2,Trailer,255,"Not Available","This assignment can be used until an explicit function has been assigned.",2000-02-07
1,127,"Not Available",255,"Not Available","This assignment can be used until an explicit function has been assigned.",2000-02-07
2,0,"Non-specific System",128,"Non Virtual Terminal Display","An operator display connected to the 11783 network that cannot perform as a Virtual Terminal and is not allowed to send a VT status message",2001-10-05
2,0,"Non-specific System",129,"Operator Controls - Machine Specific","Operator interface controls, either auxiliary control inputs or a proprietary means, provided by a control function",2001-10-05
2,0,"Non-specific System",130,"Task Controller (Mapping Computer)","A control function on the 11783 network that is responsible for the sending, receiving and logging of process data as defined in ISO11783-10.",2001-10-05
2,0,"Non-specific System",131,"Position Control","Multiple axis position control of a devices application boom used for dispensing fertilizer, chemicals and seed",2001-10-05
2,0,"Non-specific System",132,"Machine Control","Control of outputs including adjustment of any ancillary functions like position and/or rotation speed. For VT or TC control, this function combines several control functions that communicate from the same SA",2001-10-05
2,0,"Non-specific System",133,"Foreign Object Detection","Detection of undesireable objects in the product flow",2001-10-05
2,0,"Non-specific System",134,"Tractor ECU","An interface unit between the tractor and the implement bus representing the tractor and its messages on the 11783 network",2001-10-05
2,0,"Non-specific System",135,"Sequence Control Master","The master controller in the Sequence Control System as defined in ISO11783-14",2012-05-21
2,0,"Non-specific System",136,"Product Dosing","Control function that adds an active ingredient to a liquid carrier for application to fields",2012-05-21
2,0,"Non-specific System",137,"Product Treatment","Control function that mixes a treatment to a dry product applied to or harvested from fields",2012-05-21
2,0,"Non-specific System",138,reserved,"reserved, pending discussion and approval of an ""all operations stop function""",2012-05-21
2,0,"Non-specific System",139,"Data Logger","Data logger as defined in ISO11783-10 for non-task related data logging",2012-05-21
2,0,"Non-specific System",140,"Decision Support","A control function which is used by the operator or by another control function to configure an operation to perform optimally under the current circumstances.",2015-11-05
2,0,"Non-specific System",141,"Lighting Controller","Control function that controls electrical power to the lights and reports the status of the lights. This control function can be used on trailers or implements.",2016-05-05
2,0,"Non-specific System",142,"TIM Server","Control function that represents a Tractor Implement Management (TIM) Server.  TIM is an Operator Assistance System that enables TIM clients to request the control of certain TIM functions (for example speed, steering, hitch, PTO, hydraulic valves, etc.) from TIM servers.",2017-08-10
2,0,"Non-specific System",255,"Not Available","This assignment can be used until an explicit function has been assigned.",2000-02-07
2,1,Tractor,129,"Auxiliary Valve Control","Control of addressed tractor mounted auxiliary valves",2001-10-05
2,1,Tractor,130,"Rear Hitch Control","Control of the rear hitch of an agricultural tractor",2001-10-05
2,1,Tractor,131,"Front Hitch Control","Control of the front hitch of an agricultural tractor",2001-10-05
2,1,Tractor,132,"Tractor Machine Control","Control of outputs including adjustment of any ancillary functions like position and/or rotation speed. For VT or TC control, this function combines several control functions that communicate from the same SA",2005-02-08
2,1,Tractor,134,"Center Hitch Control","Control of center hitch of an agricultural tractor",2012-05-21
2,1,Tractor,255,"Not Available","This assignment can be used until an explicit function has been assigned.",2000-02-07
2,2,Tillage,132,"Tillage Machine Control","Control of outputs including adjustment of any ancillary functions like position and/or rotation speed. For VT or TC control, this function combines several control functions that communicate from the same SA",2001-10-05
2,2,Tillage,135,"Tillage Depth Control","Control of the depth of the tillage tool in the soil",2012-05-21
2,2,Tillage,136,"Frame Control","Control of the folding and unfolding of the frame of the device. Control used to change between transport and field operation position. Not to be used for field operations",2012-05-21
2,2,Tillage,255,"Not Available","This assignment can be used until an explicit function has been assigned.",2000-02-07
2,3,"Secondary Tillage",132,"Secondary Tillage Machine Control","Control of outputs including adjustment of any ancillary functions like position and/or rotation speed. For VT or TC control, this function combines several control functions that communicate from the same SA",2001-10-05
2,3,"Secondary Tillage",135,"Secondary Tillage Depth Control","Control of the depth of the tillage tool in the soil. Secondary tillage is usually soil surface preparation.",2012-05-21
2,3,"Secondary Tillage",136,"Frame Control","Control of the folding and unfolding of the frame of the device.  Control used to change between transport and field operation position.  Not to be used for field operations.",2012-05-21
2,3,"Secondary Tillage",255,"Not Available","This assignment can be used until an explicit function has been assigned.",2000-02-07
2,4,Planters/Seeders,128,"Seed Rate Control","Control of the rate of the product placed in the soil. This can be the primary control function of a seeder",1999-11-11
2,4,Planters/Seeders,129,"Section On/Off Control","On/Off control of individual sections",2001-10-05
2,4,Planters/Seeders,131,"Position Control","Multiple axis control of an application boom in the x & y coordinates which can be used for row guidance. Z coordinate control is achieved by depth/ height control.",2012-05-21
2,4,Planters/Seeders,132,"Planters/ Seeders Machine Control","Control of outputs including adjustment of any ancillary functions like position and/or rotation speed. For VT or TC control, this function combines several control functions that communicate from the same SA",2001-10-05
2,4,Planters/Seeders,133,"Product Flow","Measuring function to monitor the current product flow during operation",2003-11-18
2,4,Planters/Seeders,134,"Product Level","Measuring function to monitor the current product level in the bin",2003-11-18
2,4,Planters/Seeders,135,"Depth Control","Control of the depth of seed/tuber placement in the soil",2012-05-21
2,4,Planters/Seeders,136,"Frame Control","Control of the folding and unfolding of the frame of the device.  Control used to change between transport and field operation position.  Not to be used for field operations.",2012-05-21
2,4,Planters/Seeders,137,"Down Pressure","Control of the ground contact pressure on the product delivery unit for optimal operation e.g. pressure on openers for penetrating the ground",2012-05-21
2,4,Planters/Seeders,255,"Not Available","This assignment can be used until an explicit function has been assigned.",2000-02-07
2,5,Fertilizers,128,"Fertilize Rate Control","Control of the rate of product placed on or in the soil",2001-10-05
2,5,Fertilizers,129,"Section On/Off Control","On/Off control of individual sections",2001-10-05
2,5,Fertilizers,130,"Product Pressure","Monitoring of the pressure of the liquid in the sprayers delivery booms",2012-05-21
2,5,Fertilizers,131,"Position Control","Multiple axis control of an application boom in the x & y coordinates which can be used for row guidance. Z coordinate control is achieved by depth/ height control.",2012-05-21
2,5,Fertilizers,132,"Fertilizers Machine Control","Control of outputs including adjustment of any ancillary functions like position and/or rotation speed. For VT or TC control, this function combines several control functions that communicate from the same SA",2001-10-05
