value,manufacturer,location,date_created_or_last_modified
0,"Reserved for experimental use, not for production use.",N.A.,
1,"Bendix Commercial Vehicle Systems LLC (formerly Allied Signal Inc.)","Elyria, OH   USA",2013-06-28
2,"Allison Transmission, Inc.","Indianapolis, IN   USA",2015-04-28
3,"Ametek, US Gauge Division","Sellersville, PA   USA",
4,Ametek-Dixson,"Grand Junction, CO   USA",
5,"AMP Inc.","Harrisburg, PA   USA",
6,"Berifors Electronics AB","Stockholm, Sweden",
7,"Case Corp.","Burr Ridge, IL   USA",
8,"Caterpillar Inc.","Peoria, IL   USA",
9,"Chrysler Corp.","Auburn Hills, MI   USA",
10,"Cummins Inc (formerly Cummins Engine Co)","Columbus, IN   USA",
11,"Dearborn Group Inc.","Indianapolis, IN & Farmington Hills, MI   USA",
12,"Deere & Company, Precision Farming","East Moline, IL   USA",
13,"Delco Electronics","Kokomo, IN   USA",
14,"Detroit Diesel Corporation","Detroit, MI   USA",
15,"DICKEY-john Corporation","Auburn, IL   USA",2015-07-27
16,"Eaton Corp","Southfield, MI   USA",
17,"Eaton Corp, Corp Res & Dev","Milwaukee, WI   USA",
18,"Eaton Corp, Transmission Div.","Kalamazoo, MI   USA",
19,"Eaton Corp. Trucking Info Services","Clemmons, NC   USA",
20,"Eaton Ltd","Worsley, England",
21,"Echlin Inc., Midland Brake Inc.","Kansas City, MO   USA",
22,"Ford Motor Co., Electronic Concepts & Systems","Dearborn, MI   USA",
23,"Ford Motor Co., Heavy Truck","Dearborn, MI   USA",
24,"Ford Motor Co., Vehicle Controls","Dearborn, MI   USA",
25,"Daimler Trucks North America LLC (formerly Freightliner LLC)","Portland, OR   USA",2008-05-21
26,"General Motors Corp, Service Technology Grp","Romulus, MI   USA",
27,GMC,"Troy, MI   USA",
28,"Grote Ind. Inc.","Madison, IN   USA",
29,"Hino Motors Ltd.","Tokyo, Japan",
30,"Isuzu Motors Ltd","Kawasaki, Japan",
31,"J Pollak Corp","Boston, MA   USA",
32,"Jacobs Vehicle Systems","Bloomfield, CT   USA",1998-07-01
33,"John Deere","Moline, IL   USA",2015-06-29
34,"Kelsey Hayes Co.","Livonia, MI   USA",
35,"Kenworth Truck Co.","Kirkland, WA   USA",
36,"Lucas Ind.","Solihull, W Midlands  UK",
37,"Mack Trucks Inc.","Hagerstown, MD   USA",
38,"Micro Processor Systems Inc.","Sterling Hts, MI   USA",
39,"Microfirm Inc.","Stillwater, OK   USA",
40,"Motorola AIEG Inc.","Northbrook, IL   USA",
41,"Motorola Inc.","Schaumburg, IL   USA",
